HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,FFPTSH,FFHG,FFAG,PSH,SSH,CSH,PSA,SSA,CSA,B365H,B365D,B365A,B365_Pred,T2M_RANGE,QV2M,PRECTOTCORR,PS,WS10M_RANGE,HS,AS,HTR,HF,AF,HY,AY,HR,AR
Brighton,Chelsea,A,2,3,4,1,0.6375838926174496,1.1764705882352942,1.0084033613445378,0.9060402684563759,0.0,0.0,3.0,1.4,1.2666666666666666,1.3333333333333333,1.4,1.2,1.0,7.5,4.5,1.5,A,3.79,5.98,5.2,99.98,4.48,6,10,A,14,6,2,2,0,0
Liverpool,Man United,H,11,2,13,2,1.8456375838926176,0.42016806722689076,1.3445378151260505,0.9731543624161074,0.5,0.5,1.0,2.6,2.0,0.4,1.2,1.8,1.6,1.57,4.5,6.0,H,2.87,5.37,5.7,99.42,12.74,36,6,D,6,14,0,2,0,0
Southampton,Arsenal,H,7,4,4,5,0.9060402684563759,1.2605042016806725,1.3025210084033614,1.174496644295302,0.5,1.5,2.0,0.5333333333333333,0.8666666666666667,2.0,2.2,2.0,1.2,4.1,3.9,1.9,A,4.91,5.8,5.79,99.81,4.05,12,13,H,12,10,3,1,0,0
Wolves,Liverpool,A,5,6,1,10,0.9395973154362416,0.8823529411764708,1.4285714285714286,0.40268456375838924,1.543157894736842,1.4963157894736843,1.2505263157894737,1.6,1.1333333333333333,1.0,3.0,2.8,0.4,7.0,4.0,1.57,A,4.04,6.35,9.06,98.59,6.99,11,15,A,7,3,0,0,0,0
Arsenal,Burnley,H,6,2,1,3,1.4093959731543626,0.6722689075630253,0.8823529411764708,1.2080536912751678,3.0,3.0,0.0,2.2666666666666666,2.3333333333333335,1.2,0.6,0.6,1.6,1.25,6.5,15.0,H,3.89,6.29,0.16,100.58,4.77,10,7,H,10,14,2,5,0,0
Bournemouth,Brighton,H,3,5,6,5,1.0067114093959733,1.0504201680672272,0.6722689075630253,1.0738255033557047,2.0,2.0,1.5,1.1333333333333333,1.4,1.8,1.4,1.4,1.2,1.9,3.7,4.33,H,1.09,7.39,0.3,101.59,7.59,14,10,H,8,18,2,0,0,1
Cardiff,Man United,A,3,9,4,7,0.7046979865771813,1.596638655462185,1.3445378151260505,0.9731543624161074,1.543157894736842,1.4963157894736843,1.2505263157894737,0.8666666666666667,1.1333333333333333,2.066666666666667,1.2,1.8,1.6,6.5,4.2,1.57,A,2.98,6.59,0.74,100.4,5.69,9,17,A,13,13,2,1,0,0
Chelsea,Leicester,A,5,3,9,5,1.3087248322147653,0.5042016806722689,1.134453781512605,0.9395973154362416,2.0,1.0,0.5,2.066666666666667,1.9333333333333333,0.8,1.0,0.8,1.0,1.33,5.5,11.0,H,3.89,6.29,0.16,100.58,4.77,17,8,D,10,9,0,2,0,0
Huddersfield,Southampton,A,5,6,8,2,0.3355704697986577,1.3025210084033614,0.7563025210084033,1.174496644295302,1.0,0.5,0.5,0.6666666666666666,0.6,1.2666666666666666,0.8,1.6,2.2,3.1,3.1,2.6,A,2.48,5.86,1.55,99.0,2.8,16,13,A,12,9,2,3,0,0
Man City,Crystal Palace,A,5,3,13,0,1.912751677852349,0.5042016806722689,1.3445378151260505,1.0067114093959733,2.0,2.5,0.0,2.533333333333333,2.6666666666666665,0.6,1.4,1.2,1.2,1.14,10.0,21.0,H,2.67,5.98,1.74,99.61,3.6,19,5,A,7,6,0,4,0,0
Newcastle,Fulham,D,0,2,6,0,0.8053691275167785,1.0504201680672272,0.5042016806722689,1.5100671140939597,1.543157894736842,1.4963157894736843,1.2505263157894737,1.0,0.8666666666666667,1.3333333333333333,0.8,1.0,2.2,2.0,3.6,4.0,H,1.92,5.55,0.73,99.08,4.63,9,4,D,9,12,1,2,0,0
West Ham,Watford,A,7,5,10,4,1.0738255033557047,1.134453781512605,1.092436974789916,1.0402684563758389,1.5,1.0,1.0,1.6,1.6,1.2666666666666666,0.8,1.2,2.2,2.37,3.5,3.1,H,3.89,6.29,0.16,100.58,4.77,18,11,A,9,11,3,2,0,0
Everton,Tottenham,A,3,8,2,1,1.0067114093959733,0.8823529411764708,1.3865546218487397,0.7718120805369127,0.0,0.0,3.5,1.3333333333333333,1.3333333333333333,1.2666666666666666,2.4,2.2,1.2,3.25,3.5,2.3,A,1.41,5.49,8.79,101.04,1.65,10,17,A,13,9,0,2,0,0
Brighton,Arsenal,D,3,4,4,9,0.6375838926174496,1.1764705882352942,1.3025210084033614,1.174496644295302,1.5,1.0,1.5,1.2,1.1333333333333333,1.4,2.0,2.4,1.6,5.25,3.9,1.72,A,4.18,5.25,0.07,102.34,1.2,12,7,D,10,4,2,1,0,0
Burnley,Everton,A,4,6,5,7,0.8053691275167785,1.3445378151260505,1.0084033613445378,0.8389261744966443,3.0,1.5,0.5,0.7333333333333333,0.8666666666666667,1.9333333333333333,0.4,1.2,2.6,4.33,3.5,1.95,A,2.18,6.29,0.53,100.67,1.2,11,13,A,11,19,2,4,0,0
Crystal Palace,Cardiff,D,5,4,12,1,0.6375838926174496,0.9663865546218489,0.546218487394958,1.0402684563758389,1.543157894736842,1.4963157894736843,1.2505263157894737,1.0,0.9333333333333333,1.4,1.2,1.4,2.4,1.66,4.0,5.75,H,5.72,5.55,0.08,102.1,1.41,31,9,D,9,11,0,3,0,0
Fulham,Wolves,D,9,5,2,0,0.738255033557047,1.5126050420168067,0.7983193277310925,0.8389261744966443,1.543157894736842,1.4963157894736843,1.2505263157894737,0.4666666666666667,0.7333333333333333,2.3333333333333335,1.8,1.4,1.2,3.25,3.4,2.37,A,5.72,5.55,0.08,102.1,1.41,11,14,D,9,6,2,1,0,0
Leicester,Man City,H,5,4,3,7,0.8053691275167785,0.8403361344537815,1.596638655462185,0.3691275167785235,0.0,0.5,3.5,1.2666666666666666,1.1333333333333333,1.2,1.8,2.0,1.6,9.5,5.25,1.36,A,1.41,5.98,0.19,101.64,1.33,10,11,D,5,8,2,2,0,1
Liverpool,Newcastle,H,8,2,10,2,1.8456375838926176,0.42016806722689076,0.7563025210084033,0.7718120805369127,2.0,1.5,0.5,2.6,2.1333333333333333,0.4666666666666667,1.0,0.6,1.2,1.16,8.5,19.0,H,2.39,6.23,0.14,102.03,1.18,16,6,H,7,9,0,0,0,0
Man United,Huddersfield,H,10,2,5,3,1.1073825503355705,1.0504201680672272,0.5042016806722689,1.5100671140939597,1.5,1.5,1.0,1.7333333333333334,2.0,1.5333333333333334,0.0,0.6,1.8,1.25,6.5,15.0,H,2.31,5.98,0.21,101.23,1.43,16,10,H,9,13,1,1,0,0
Tottenham,Bournemouth,H,7,4,3,4,1.1409395973154361,0.6722689075630253,1.092436974789916,1.5100671140939597,3.0,2.5,0.5,2.2,1.9333333333333333,1.0666666666666667,1.2,1.0,2.0,1.36,5.5,9.0,H,5.72,5.55,0.08,102.1,1.41,10,14,H,4,8,2,1,0,0
Watford,Chelsea,A,2,4,3,4,0.8724832214765101,1.1764705882352942,1.0084033613445378,0.9060402684563759,1.5,3.0,2.5,1.2,1.2,1.5333333333333334,1.8,1.4,0.8,5.25,3.8,1.75,A,5.12,5.74,0.1,101.91,1.59,10,10,D,15,5,1,0,0,0
Southampton,West Ham,A,5,5,4,5,0.9060402684563759,1.2605042016806725,0.8403361344537815,0.9395973154362416,1.5,1.5,2.5,0.9333333333333333,1.1333333333333333,1.9333333333333333,2.4,2.2,1.0,2.3,3.5,3.3,H,2.96,5.0,0.04,101.83,0.84,11,16,D,10,3,2,0,0,0
Brighton,Everton,H,3,4,6,6,0.6375838926174496,1.1764705882352942,1.0084033613445378,0.8389261744966443,0.3333333333333333,0.6666666666666666,2.0,1.2,1.0666666666666667,1.3333333333333333,1.0,2.2,2.6,3.25,3.4,2.14,A,4.72,6.71,0.23,102.56,5.09,11,13,D,10,11,0,2,0,0
Fulham,Huddersfield,H,5,5,4,3,0.738255033557047,1.5126050420168067,0.5042016806722689,1.5100671140939597,0.0,0.0,1.0,0.4666666666666667,0.6666666666666666,2.2666666666666666,0.0,0.6,2.0,2.0,3.4,3.75,H,6.62,6.47,0.17,102.25,4.57,14,9,D,12,10,3,1,0,0
Leicester,Cardiff,A,7,3,10,4,0.8053691275167785,0.8403361344537815,0.546218487394958,1.0402684563758389,3.0,1.0,0.0,1.4666666666666666,1.2,1.1333333333333333,0.8,1.0,2.2,1.55,4.0,6.0,H,6.91,6.47,0.22,101.79,6.27,16,12,D,14,16,0,2,0,0
Liverpool,Arsenal,H,10,2,5,3,1.8456375838926176,0.42016806722689076,1.3025210084033614,1.174496644295302,1.6666666666666667,2.6666666666666665,1.3333333333333333,2.6,2.2666666666666666,0.4,1.6,1.8,1.4,1.5,4.5,5.75,H,3.84,6.59,0.99,102.2,6.77,15,8,H,8,13,1,2,0,0
Tottenham,Wolves,A,3,4,6,7,1.1409395973154361,0.6722689075630253,0.7983193277310925,0.8389261744966443,3.0,3.0,2.0,2.4,2.2,0.9333333333333333,2.0,1.4,1.0,1.33,5.0,8.5,H,6.62,6.47,0.17,102.25,4.57,10,11,H,7,7,3,2,0,0
